vendor_id,vendor_name,registration_date,address,bank_account_number,director_name,employee_count,is_shell_gt,cartel_group,shared_address_count,shared_bank_account_count
V-0042,Union Builders LLP,2012-07-14,"197 Industrial Ave, City-14",AC5570828113,Anita Singh,10,False,,0,0
V-0043,Crown Contractors Pvt Ltd,2017-03-04,"392 Harbour Rd, City-25",AC3048612358,Vikram Patel,1,False,CARTEL-13,0,0
V-0044,Horizon Solutions LLP,2021-11-25,"250 Sector 12, City-18",AC7166868574,Rahul Rao,36,False,,0,0
V-0045,Metro Associates Co,2012-07-16,"66 Harbour Rd, City-35",AC1116402431,Anita Gupta,4,False,,0,0
V-0046,Nova Systems Co,2024-06-11,"134 Sector 12, City-31",AC4631453750,Rohit Sharma,16,False,CARTEL-12,2,1
V-0047,Vertex Traders Pvt Ltd,2021-10-20,"400 MG Road, City-2",AC5078551333,Priya Sharma,5,False,,0,0
V-0048,Silver Enterprises LLP,2018-12-08,"239 Ring Road, City-24",AC4518871744,Neha Verma,11,False,,0,0
V-0049,Crown Works LLP,2017-12-24,"39 Harbour Rd, City-16",AC8612747444,Kavita Verma,2,True,,0,0
V-0050,Vertex Tech Ltd,2022-07-22,"7 Civil Lines, City-32",AC5748253283,Vikram Iyer,2,True,,0,0
V-0051,Summit Enterprises Co,2008-06-07,"239 Civil Lines, City-38",AC6447717367,Priya Verma,11,False,,0,0
V-0052,Pioneer Enterprises Co,2011-04-04,"173 MG Road, City-32",AC8949781901,Sanjay Iyer,3,False,,0,0
V-0053,Summit Contractors Ltd,2009-10-04,"285 MG Road, City-34",AC5071897791,Amit Mehta,52,False,,0,0
V-0054,Delta Industries Co,2021-02-24,"331 New Town, City-29",AC4405620755,Amit Patel,22,False,,0,0
V-0055,Regal Systems Co,2009-12-21,"284 Old Market, City-23",AC6715705115,Rohit Patel,42,False,,0,0
V-0056,Alpha Systems Pvt Ltd,2011-11-17,"381 Old Market, City-12",AC1822662216,Rohit Patel,33,False,,0,0
V-0057,Alpha Supplies LLP,2021-04-02,"185 Industrial Ave, City-20",AC9650701349,Suresh Gupta,13,False,,0,0
V-0058,Union Group Co,2011-02-26,"53 MG Road, City-37",AC5001713266,Rohit Iyer,1,True,CARTEL-09,0,3
V-0059,Elite Tech Pvt Ltd,2009-02-19,"206 New Town, City-5",AC3948284698,Sanjay Gupta,38,False,,0,0
V-0060,Delta Tech Co,2023-03-12,"311 Harbour Rd, City-40",AC7539399243,Rohit Iyer,1,False,,1,0
V-0061,Global Enterprises Pvt Ltd,2011-09-02,"313 Park Street, City-14",AC3686566602,Neha Verma,3,False,,0,0
V-0062,Metro Infra Co,2008-07-10,"231 Harbour Rd, City-31",AC2250949136,Priya Patel,1,False,,0,0
V-0063,Prime Group LLP,2020-11-09,"136 Harbour Rd, City-13",AC2825957977,Suresh Mehta,5,False,,0,0
V-0064,Union Tech Pvt Ltd,2019-07-12,"85 Ring Road, City-39",AC6534540349,Amit Iyer,7,False,,0,0
V-0065,Pioneer Tech Pvt Ltd,2020-06-12,"222 Station Road, City-39",AC2075321966,Amit Mehta,4,False,,0,0
V-0066,Bright Services Ltd,2020-02-15,"296 MG Road, City-12",AC8093179263,Neha Gupta,26,False,,0,0
V-0067,Prime Logistics Ltd,2018-02-17,"210 Station Road, City-21",AC3878201524,Sanjay Singh,6,False,,0,0
V-0068,Crown Associates Pvt Ltd,2014-03-27,"233 Park Street, City-21",AC6379012098,Amit Rao,4,False,,0,0
V-0069,National Logistics Co,2024-05-26,"28 Sector 12, City-34",AC8543865915,Rohit Sharma,11,False,,0,0
V-0070,Global Logistics Co,2009-07-26,"63 MG Road, City-39",AC4433026356,Sanjay Patel,2,False,,0,0
V-0071,Delta Associates Pvt Ltd,2017-05-10,"237 Park Street, City-10",AC8372755146,Suresh Patel,1,True,,0,0
V-0072,Pioneer Solutions LLP,2023-09-22,"197 Sector 12, City-39",AC4776677517,Amit Patel,24,False,,0,0
V-0073,Coastal Supplies Pvt Ltd,2022-05-01,"145 Ring Road, City-38",AC8129391249,Sanjay Iyer,1,False,,0,0
V-0074,National Works Co,2017-01-30,"165 Sector 12, City-16",AC7750819485,Priya Rao,65,False,,0,0
V-0075,Elite Infra LLP,2005-12-24,"258 Harbour Rd, City-22",AC4735334423,Rohit Verma,22,False,,0,0
V-0076,Horizon Associates LLP,2016-10-18,"39 New Town, City-17",AC8270110908,Amit Singh,3,False,CARTEL-04,0,0
V-0077,Nova Group Co,2024-02-13,"278 MG Road, City-40",AC1293864877,Neha Mehta,1,False,,0,0
V-0078,Silver Logistics LLP,2021-10-01,"356 Ring Road, City-2",AC5492496998,Rahul Patel,25,False,,0,0
V-0079,Coastal Works LLP,2013-01-15,"88 Industrial Ave, City-6",AC3934040683,Rohit Gupta,18,False,,0,0
V-0080,Summit Group Pvt Ltd,2010-03-18,"239 Ring Road, City-35",AC1678500147,Rohit Singh,19,False,,0,0
V-0081,Alpha Works Co,2018-03-07,"55 Sector 12, City-25",AC7751356568,Kavita Patel,22,False,,0,0
V-0082,Crown Supplies Pvt Ltd,2020-09-07,"290 MG Road, City-39",AC8495457335,Neha Mehta,1,False,,0,0
V-0083,Alpha Enterprises Ltd,2018-08-14,"348 Industrial Ave, City-7",AC3776011793,Neha Iyer,6,False,,0,0
V-0084,Prime Contractors Ltd,2005-10-01,"168 Civil Lines, City-12",AC1862407093,Suresh Singh,1,False,,0,0
V-0085,Metro Supplies Co,2016-11-27,"152 Station Road, City-8",AC1323408297,Priya Rao,29,False,,0,0
V-0086,Crown Infra Ltd,2023-12-21,"275 Park Street, City-30",AC2595467139,Priya Iyer,14,False,,0,0
V-0087,Nova Contractors LLP,2005-07-25,"332 Park Street, City-30",AC2753617371,Sanjay Sharma,6,False,,0,0
V-0088,Silver Traders LLP,2005-11-01,"199 New Town, City-24",AC9381721143,Rahul Singh,1,False,,0,0
V-0089,National Contractors Ltd,2009-11-15,"32 Civil Lines, City-18",AC2952996248,Priya Sharma,5,False,,0,0
V-0090,Union Services LLP,2006-02-19,"36 Old Market, City-14",AC3518496186,Priya Singh,5,False,,0,0
V-0091,Bright Supplies LLP,2022-05-15,"67 Old Market, City-17",AC4429590757,Amit Sharma,19,False,,0,0
V-0092,Delta Enterprises Ltd,2007-12-16,"9 Industrial Ave, City-17",AC1225052083,Anita Verma,2,True,,0,0
V-0093,Coastal Enterprises Pvt Ltd,2006-06-05,"232 Old Market, City-15",AC9776185998,Suresh Patel,15,False,,0,0
V-0094,Crown Works Pvt Ltd,2015-04-11,"363 Industrial Ave, City-11",AC2021795614,Vikram Gupta,32,False,CARTEL-15,2,1
V-0095,Regal Solutions Ltd,2006-06-23,"196 Harbour Rd, City-34",AC6561543484,Suresh Rao,9,False,,0,0
V-0096,National Industries LLP,2007-03-24,"221 New Town, City-15",AC7072283057,Rohit Rao,1,False,,0,0
V-0097,Nova Group Ltd,2014-05-01,"192 Industrial Ave, City-31",AC1288335378,Amit Verma,18,False,,0,0
V-0098,Union Solutions Pvt Ltd,2014-09-08,"301 Old Market, City-36",AC5819946657,Vikram Rao,21,False,,0,0
V-0099,Vista Supplies Ltd,2024-06-21,"151 Civil Lines, City-35",AC5001713266,Rohit Mehta,12,False,CARTEL-09,2,3
V-0100,Regal Traders Co,2024-01-02,"288 Harbour Rd, City-40",AC3391179068,Kavita Patel,22,False,,0,0
V-0101,Global Contractors Ltd,2005-08-26,"180 MG Road, City-12",AC4736031885,Kavita Rao,10,False,,0,0
V-0102,Crown Works Co,2006-07-25,"175 Industrial Ave, City-24",AC3560761628,Rahul Gupta,11,False,,0,0
V-0103,Summit Logistics Co,2008-07-13,"35 Old Market, City-14",AC7073872915,Priya Verma,8,False,CARTEL-02,0,0
V-0104,Regal Logistics Ltd,2012-09-28,"24 Sector 12, City-26",AC1235286733,Priya Patel,1,False,,0,0
V-0105,Global Systems Pvt Ltd,2009-09-27,"4 New Town, City-28",AC1754603440,Anita Mehta,1,False,,0,0
V-0106,Vertex Tech Co,2016-03-22,"380 MG Road, City-28",AC5375461598,Amit Singh,1,False,,0,0
V-0107,Horizon Supplies Pvt Ltd,2017-11-30,"208 MG Road, City-21",AC2554145481,Anita Verma,15,False,,0,0
V-0108,Prime Works Ltd,2010-06-17,"382 Station Road, City-15",AC1722124509,Suresh Verma,5,False,,0,0
V-0109,Vertex Systems LLP,2016-11-25,"121 Park Street, City-10",AC2099375147,Sanjay Gupta,10,False,,0,0
V-0110,Elite Logistics Co,2022-01-19,"349 Harbour Rd, City-40",AC2357806226,Rohit Verma,35,False,CARTEL-24,0,0
V-0111,Summit Enterprises Pvt Ltd,2015-07-09,"181 Old Market, City-5",AC6628158856,Rohit Sharma,4,False,,0,0
V-0112,Prime Enterprises Co,2006-04-12,"237 Harbour Rd, City-36",AC5471158508,Kavita Mehta,7,False,,0,0
V-0113,Apex Logistics Pvt Ltd,2012-03-18,"176 Park Street, City-33",AC3775094726,Rahul Mehta,21,False,,0,0
V-0114,Coastal Enterprises LLP,2020-11-14,"187 Station Road, City-19",AC6958908766,Vikram Sharma,3,False,,0,0
V-0115,Nova Tech Co,2022-09-14,"146 Ring Road, City-39",AC4750707607,Vikram Verma,1,False,,0,0
V-0116,Global Group Co,2018-01-26,"67 Harbour Rd, City-6",AC8695129534,Sanjay Verma,5,False,,0,0
V-0117,Bright Systems Ltd,2019-06-29,"93 Sector 12, City-22",AC3088517710,Priya Gupta,2,False,,0,0
V-0118,Silver Solutions Pvt Ltd,2008-06-23,"339 Station Road, City-40",AC2617999521,Sanjay Gupta,39,False,,0,0
V-0119,Apex Works Ltd,2023-08-25,"347 Sector 12, City-29",AC7917454662,Rohit Mehta,24,False,,0,0
V-0120,Elite Contractors LLP,2016-12-23,"189 Harbour Rd, City-29",AC7560389844,Sanjay Mehta,15,False,,0,0
V-0121,Apex Group Co,2022-12-21,"191 Old Market, City-7",AC5830454240,Amit Gupta,30,False,,0,0
V-0122,Horizon Tech LLP,2011-02-13,"231 Station Road, City-2",AC2781968664,Anita Singh,24,False,,0,0
V-0123,Bright Systems Pvt Ltd,2010-04-16,"85 Ring Road, City-8",AC1590985753,Neha Iyer,3,False,CARTEL-07,1,0
V-0124,Elite Logistics Pvt Ltd,2020-08-12,"41 MG Road, City-17",AC2817865363,Neha Mehta,33,False,,0,0
V-0125,Vista Logistics Pvt Ltd,2011-10-04,"57 New Town, City-39",AC3302333490,Suresh Mehta,11,False,,0,0
V-0126,Vista Systems LLP,2021-02-12,"293 Civil Lines, City-12",AC9957643727,Vikram Verma,24,False,,0,0
V-0127,Coastal Solutions Pvt Ltd,2016-10-19,"200 New Town, City-3",AC8025152555,Vikram Patel,33,False,,0,0
V-0128,Regal Industries Ltd,2021-10-06,"69 MG Road, City-23",AC7640078465,Sanjay Iyer,2,True,,0,0
V-0129,Prime Industries Co,2015-09-26,"19 Ring Road, City-13",AC5474951950,Neha Rao,5,False,,0,0
V-0130,Alpha Supplies Ltd,2023-04-16,"400 MG Road, City-22",AC2173456409,Vikram Rao,1,False,,0,0
V-0131,Elite Industries Co,2024-12-13,"189 Old Market, City-18",AC4440904834,Anita Verma,3,False,,0,0
V-0132,National Supplies Ltd,2014-08-29,"53 Park Street, City-21",AC8133593748,Neha Iyer,8,False,,0,0
V-0133,Pioneer Systems Co,2018-07-08,"22 Station Road, City-40",AC9581991473,Neha Sharma,25,False,,0,0
V-0134,Coastal Services LLP,2006-09-07,"16 Industrial Ave, City-39",AC2881937953,Sanjay Verma,29,False,,0,0
V-0135,Crown Enterprises Pvt Ltd,2010-04-18,"310 Industrial Ave, City-29",AC9370133343,Vikram Iyer,1,False,,0,0
V-0136,Vertex Works Ltd,2022-02-12,"333 Ring Road, City-16",AC5125402225,Rahul Gupta,10,False,,0,0
V-0137,Silver Supplies Ltd,2016-03-12,"361 New Town, City-14",AC3109688769,Amit Gupta,8,False,,0,0
V-0138,Pioneer Tech Ltd,2024-02-17,"342 Station Road, City-5",AC1963110410,Priya Gupta,3,False,,0,0
V-0139,National Builders Pvt Ltd,2010-04-24,"34 Ring Road, City-26",AC8382488970,Suresh Rao,1,False,CARTEL-17,0,0
V-0140,Union Systems Pvt Ltd,2022-04-02,"231 New Town, City-34",AC2479679716,Suresh Gupta,6,False,,0,0
V-0141,Apex Associates Pvt Ltd,2022-03-22,"266 Industrial Ave, City-20",AC1707196784,Vikram Mehta,42,False,,0,0
V-0142,Global Associates Pvt Ltd,2012-10-05,"129 Sector 12, City-36",AC2178758213,Neha Verma,5,False,,0,0
V-0143,Regal Builders LLP,2016-04-10,"338 Harbour Rd, City-39",AC4709911999,Amit Sharma,10,False,,0,0
V-0144,Alpha Services Co,2019-05-22,"317 MG Road, City-32",AC7638204740,Neha Iyer,18,False,,0,0
V-0145,Global Logistics Pvt Ltd,2010-06-30,"353 MG Road, City-11",AC7183058541,Rohit Iyer,6,False,,0,0
V-0146,Nova Industries Ltd,2009-07-30,"205 Industrial Ave, City-24",AC5751023835,Priya Iyer,53,False,,0,0
V-0147,Silver Infra Ltd,2007-10-01,"197 Harbour Rd, City-27",AC2343100352,Sanjay Iyer,49,False,,0,0
V-0148,Elite Infra Pvt Ltd,2016-07-18,"202 Old Market, City-30",AC5151887478,Priya Singh,4,False,,0,0
V-0149,Elite Supplies Pvt Ltd,2006-02-03,"56 Civil Lines, City-9",AC9085085822,Vikram Rao,1,True,,0,0
V-0150,Alpha Systems Ltd,2006-01-06,"38 Civil Lines, City-33",AC7656585531,Kavita Verma,10,False,,0,0
V-0151,Nova Solutions Ltd,2007-11-21,"387 Industrial Ave, City-13",AC1172893522,Rahul Gupta,5,False,,0,0
V-0152,Pioneer Builders LLP,2021-01-02,"168 Harbour Rd, City-21",AC5992908271,Kavita Patel,5,False,,0,0
V-0153,National Logistics Ltd,2018-04-26,"244 MG Road, City-24",AC3702653209,Kavita Iyer,1,False,,0,0
V-0154,Regal Enterprises LLP,2010-12-16,"370 MG Road, City-38",AC3063511828,Suresh Rao,14,False,,0,0
V-0155,Regal Industries Pvt Ltd,2008-04-25,"98 MG Road, City-29",AC6642266247,Sanjay Rao,10,False,,0,0
V-0156,Vista Contractors Co,2020-06-27,"377 MG Road, City-9",AC3227727430,Suresh Singh,1,False,,0,0
V-0157,Metro Logistics Ltd,2019-11-08,"280 Station Road, City-17",AC7915226263,Priya Mehta,4,False,,0,0
V-0158,Global Services Ltd,2011-04-05,"361 Sector 12, City-32",AC6656646925,Vikram Patel,35,False,,0,0
V-0159,Crown Contractors Co,2011-06-16,"177 Industrial Ave, City-19",AC5475641477,Amit Singh,4,False,,0,0
V-0160,Alpha Traders Ltd,2014-12-03,"288 Ring Road, City-9",AC2027708670,Rahul Mehta,2,False,,0,0
V-0161,Nova Industries Co,2019-04-24,"52 Industrial Ave, City-1",AC5973319056,Rohit Iyer,10,False,,0,0
V-0162,Nova Supplies Pvt Ltd,2019-08-05,"394 Park Street, City-37",AC4957687327,Anita Gupta,63,False,,0,0
V-0163,Elite Builders Ltd,2005-10-25,"20 MG Road, City-20",AC9516893896,Neha Iyer,4,False,,0,0
V-0164,Union Associates Co,2019-05-21,"140 Sector 12, City-8",AC2420277403,Rohit Patel,16,False,,0,0
V-0165,Global Enterprises LLP,2021-02-12,"90 Harbour Rd, City-26",AC8846861559,Suresh Singh,21,False,,0,0
V-0166,Elite Systems LLP,2006-12-12,"360 Sector 12, City-15",AC6671348907,Neha Singh,4,False,CARTEL-04,2,1
V-0167,Summit Group Ltd,2011-10-10,"355 Sector 12, City-4",AC3868119543,Rohit Patel,19,False,,0,0
V-0168,Global Industries Pvt Ltd,2008-08-01,"328 Ring Road, City-24",AC3639796200,Priya Gupta,6,False,,0,0
V-0169,Vista Systems Co,2015-09-23,"360 Old Market, City-31",AC4545940090,Priya Verma,15,False,,0,0
V-0170,Prime Contractors Pvt Ltd,2016-10-14,"32 Old Market, City-33",AC3304937838,Sanjay Singh,15,False,,0,0
V-0171,Alpha Industries Co,2024-03-01,"47 Old Market, City-29",AC4473306055,Rohit Gupta,11,False,,0,0
V-0172,Bright Works Ltd,2016-07-06,"2 Sector 12, City-38",AC1313659437,Anita Singh,1,False,,0,0
V-0173,Prime Contractors Co,2020-09-16,"17 Ring Road, City-27",AC9434381915,Vikram Rao,27,False,,0,0
V-0174,Crown Tech LLP,2015-01-23,"335 Station Road, City-8",AC7602474923,Suresh Gupta,5,False,,0,0
V-0175,Bright Supplies Co,2021-04-29,"345 Old Market, City-28",AC7579604766,Priya Mehta,3,False,,0,0
V-0176,Silver Infra Co,2015-05-02,"315 MG Road, City-16",AC1885113834,Amit Sharma,1,False,,0,0
V-0177,Apex Traders Pvt Ltd,2015-01-06,"206 New Town, City-15",AC3318250726,Rahul Gupta,13,False,,0,0
V-0178,Regal Systems Ltd,2016-04-20,"122 Ring Road, City-10",AC3238756255,Anita Patel,16,False,,0,0
V-0179,Metro Group Co,2011-03-05,"285 New Town, City-4",AC9470922075,Anita Singh,1,False,,0,0
V-0180,Crown Builders Co,2020-08-14,"124 Sector 12, City-20",AC9837427517,Anita Rao,10,False,,0,0
V-0181,Summit Traders Ltd,2017-07-02,"332 Park Street, City-29",AC8933377472,Amit Mehta,3,False,,0,0
V-0182,Vista Infra Pvt Ltd,2006-02-27,"97 Harbour Rd, City-36",AC6227046160,Priya Singh,15,False,,0,0
V-0183,Silver Industries Co,2011-10-20,"34 Sector 12, City-30",AC1374988236,Rohit Singh,2,False,CARTEL-06,0,1
V-0184,Elite Services Ltd,2011-12-02,"105 Station Road, City-21",AC2777816561,Kavita Mehta,17,False,,0,0
V-0185,Regal Enterprises Co,2021-08-17,"152 Industrial Ave, City-13",AC2416760621,Anita Mehta,7,False,,0,0
V-0186,Nova Supplies Co,2016-03-14,"371 New Town, City-30",AC8709361138,Sanjay Gupta,41,False,,0,0
V-0187,National Group Pvt Ltd,2021-02-26,"269 MG Road, City-5",AC3869963931,Rahul Rao,2,False,,0,0
V-0188,Union Infra LLP,2008-02-01,"259 New Town, City-24",AC9849565863,Kavita Iyer,6,False,,0,0
V-0189,Horizon Infra Pvt Ltd,2019-10-15,"13 Civil Lines, City-32",AC9493209128,Rahul Rao,1,False,CARTEL-17,0,0
V-0190,Silver Solutions LLP,2023-01-31,"124 Sector 12, City-40",AC7556078550,Vikram Patel,38,False,,0,0
V-0191,Crown Logistics LLP,2022-10-31,"357 Sector 12, City-20",AC4641561499,Rahul Verma,31,False,,0,0
V-0192,Apex Group Pvt Ltd,2014-02-03,"360 Industrial Ave, City-6",AC8663837890,Kavita Verma,4,False,,0,0
V-0193,Apex Contractors Pvt Ltd,2016-11-05,"351 Ring Road, City-35",AC1141312095,Vikram Sharma,16,False,,0,0
V-0194,Global Builders LLP,2009-08-25,"291 Civil Lines, City-35",AC6719736115,Sanjay Verma,25,False,,0,0
V-0195,Silver Works LLP,2016-03-26,"39 Station Road, City-39",AC8617360361,Rahul Patel,12,False,,0,0
V-0196,Vertex Solutions Co,2022-07-29,"222 Industrial Ave, City-38",AC8132531532,Amit Patel,11,False,,0,0
V-0197,Crown Systems Ltd,2022-11-25,"55 Park Street, City-1",AC9344950649,Rohit Singh,4,False,CARTEL-08,0,0
V-0198,Metro Works Co,2022-01-28,"286 Old Market, City-33",AC2752536389,Rahul Verma,1,False,,0,0
V-0199,Nova Associates Co,2012-12-09,"7 Ring Road, City-27",AC9953716239,Suresh Mehta,34,False,,0,0
V-0200,Metro Builders Ltd,2017-10-30,"155 Ring Road, City-32",AC1626785308,Sanjay Rao,34,False,,0,0
V-0201,Prime Systems Ltd,2011-03-11,"127 New Town, City-39",AC3648572296,Rohit Verma,15,False,,0,0
V-0202,Nova Logistics Ltd,2008-01-15,"221 Harbour Rd, City-9",AC6585327015,Kavita Mehta,6,False,,0,0
V-0203,Regal Services LLP,2015-09-30,"167 Civil Lines, City-18",AC6982610835,Amit Mehta,6,False,,0,0
V-0204,National Infra Co,2018-04-14,"363 Sector 12, City-29",AC8721000527,Amit Rao,19,False,,0,0
V-0205,Delta Supplies LLP,2020-02-05,"367 Civil Lines, City-25",AC5612645121,Kavita Iyer,34,False,,0,0
V-0206,Horizon Solutions Pvt Ltd,2018-01-22,"185 Old Market, City-39",AC1364994639,Priya Singh,32,False,,0,0
V-0207,Crown Services Ltd,2008-09-24,"221 Park Street, City-1",AC5718479235,Priya Mehta,22,False,CARTEL-20,0,0
V-0208,Regal Industries LLP,2014-12-31,"177 MG Road, City-31",AC5744003377,Anita Verma,15,False,,0,0
V-0209,Vertex Supplies Ltd,2007-08-09,"234 Sector 12, City-34",AC7369118672,Rohit Verma,1,False,,0,0
V-0210,Prime Supplies Pvt Ltd,2014-10-30,"364 Park Street, City-2",AC8942167666,Amit Gupta,2,False,,0,0
V-0211,Metro Systems Co,2021-08-11,"237 Sector 12, City-26",AC3704799972,Sanjay Rao,34,False,,0,0
V-0212,Alpha Logistics Co,2013-11-15,"200 MG Road, City-14",AC6178804925,Amit Verma,2,True,,0,0
V-0213,Silver Supplies Co,2009-03-12,"271 Station Road, City-39",AC5785590330,Vikram Iyer,13,False,,0,0
V-0214,Global Contractors Pvt Ltd,2018-11-06,"345 Industrial Ave, City-21",AC1506211965,Neha Verma,1,False,,0,0
V-0215,Regal Works Co,2009-02-08,"96 New Town, City-35",AC5294535887,Suresh Gupta,1,False,,0,0
V-0216,Pioneer Enterprises Pvt Ltd,2015-12-26,"184 MG Road, City-32",AC1586412136,Anita Iyer,16,False,,0,0
V-0217,Pioneer Logistics LLP,2014-03-06,"43 Harbour Rd, City-2",AC6242134332,Rahul Patel,1,False,,0,0
V-0218,National Solutions Pvt Ltd,2010-01-16,"294 Park Street, City-18",AC8382963909,Suresh Mehta,2,False,,0,0
V-0219,Delta Supplies Pvt Ltd,2014-07-15,"231 Ring Road, City-23",AC5668556448,Amit Mehta,11,False,,0,0
V-0220,Vertex Associates Co,2009-09-16,"85 Harbour Rd, City-9",AC4370902138,Priya Sharma,17,False,,0,0
V-0221,National Builders Ltd,2017-10-15,"361 Ring Road, City-19",AC7754847890,Suresh Verma,15,False,,0,0
V-0222,Apex Supplies LLP,2008-01-16,"360 Industrial Ave, City-16",AC6981604165,Sanjay Patel,3,False,,0,0
V-0223,Vertex Logistics Co,2019-01-31,"168 Harbour Rd, City-1",AC9989974968,Rohit Singh,18,False,,0,0
V-0224,Alpha Works LLP,2024-01-26,"254 Ring Road, City-21",AC8852676046,Vikram Gupta,4,False,,0,0
V-0225,Apex Infra Pvt Ltd,2017-09-12,"321 New Town, City-2",AC4683585586,Rohit Iyer,5,False,,0,0
V-0226,Union Contractors Ltd,2005-01-06,"82 Ring Road, City-6",AC8106401208,Neha Verma,20,False,,0,0
